application/gpx+xml,APACHE,,true,gpx
application/gxf,APACHE,,false,gxf
application/gzip,IANA,,false,gz
application/h224,IANA,,false,
application/held+xml,IANA,,true,
application/hjson,,,false,hjson
application/http,IANA,,false,
application/hyperstudio,IANA,,false,stk
application/ibe-key-request+xml,IANA,,true,
application/ibe-pkg-reply+xml,IANA,,true,
application/ibe-pp-data,IANA,,false,
application/iges,IANA,,false,
application/im-iscomposing+xml,IANA,UTF-8,true,
application/index,IANA,,false,
application/index.cmd,IANA,,false,
application/index.obj,IANA,,false,
application/index.response,IANA,,false,
application/index.vnd,IANA,,false,
application/inkml+xml,IANA,,true,ink;inkml
application/iotp,IANA,,false,
application/ipfix,IANA,,false,ipfix
application/ipp,IANA,,false,
application/isup,IANA,,false,
application/its+xml,IANA,,true,its
application/java-archive,APACHE,,false,jar;war;ear
application/java-serialized-object,APACHE,,false,ser
application/java-vm,APACHE,,false,class
application/javascript,IANA,UTF-8,true,js;mjs
application/jf2feed+json,IANA,,true,
application/jose,IANA,,false,
application/jose+json,IANA,,true,
application/jrd+json,IANA,,true,
application/jscalendar+json,IANA,,true,
application/json,IANA,UTF-8,true,json;map
application/json-patch+json,IANA,,true,
application/json-seq,IANA,,false,
application/json5,,,false,json5
application/jsonml+json,APACHE,,true,jsonml
application/jwk+json,IANA,,true,
application/jwk-set+json,IANA,,true,
application/jwt,IANA,,false,
application/kpml-request+xml,IANA,,true,
application/kpml-response+xml,IANA,,true,
application/ld+json,IANA,,true,jsonld
application/lgr+xml,IANA,,true,lgr
application/link-format,IANA,,false,
application/load-control+xml,IANA,,true,
application/lost+xml,IANA,,true,lostxml
application/lostsync+xml,IANA,,true,
application/lpf+zip,IANA,,false,
application/lxf,IANA,,false,
application/mac-binhex40,IANA,,false,hqx
application/mac-compactpro,APACHE,,false,cpt
application/macwriteii,IANA,,false,
application/mads+xml,IANA,,true,mads
application/manifest+json,IANA,UTF-8,true,webmanifest
application/marc,IANA,,false,mrc
application/marcxml+xml,IANA,,true,mrcx
application/mathematica,IANA,,false,ma;nb;mb
application/mathml+xml,IANA,,true,mathml
application/mathml-content+xml,IANA,,true,
application/mathml-presentation+xml,IANA,,true,
application/mbms-associated-procedure-description+xml,IANA,,true,
application/mbms-deregister+xml,IANA,,true,
application/mbms-envelope+xml,IANA,,true,
application/mbms-msk+xml,IANA,,true,
application/mbms-msk-response+xml,IANA,,true,
application/mbms-protection-description+xml,IANA,,true,
application/mbms-reception-report+xml,IANA,,true,
application/mbms-register+xml,IANA,,true,
application/mbms-register-response+xml,IANA,,true,
application/mbms-schedule+xml,IANA,,true,
application/mbms-user-service-description+xml,IANA,,true,
application/mbox,IANA,,false,mbox
application/media-policy-dataset+xml,IANA,,true,mpf
application/media_control+xml,IANA,,true,
application/mediaservercontrol+xml,IANA,,true,mscml
